id	status	treatment	flow_cell	lane
r01	resist	infect	H7LVWBBXX	l2
r01	resist	infect	HCMF5BBXX	l2
r01	resist	infect	HCN77BBXX	l2
r01	resist	noninf	H7LVWBBXX	l2
r01	resist	noninf	HCMF5BBXX	l2
r01	resist	noninf	HCN77BBXX	l2
r02	resist	infect	H7LVWBBXX	l2
r02	resist	infect	HCMF5BBXX	l2
r02	resist	infect	HCN77BBXX	l2
r02	resist	noninf	H7LVWBBXX	l2
r02	resist	noninf	HCMF5BBXX	l2
r02	resist	noninf	HCN77BBXX	l2
r03	resist	infect	H7LVWBBXX	l2
r03	resist	infect	HCMF5BBXX	l2
r03	resist	infect	HCN77BBXX	l2
r03	resist	noninf	H7LVWBBXX	l2
r03	resist	noninf	HCMF5BBXX	l2
r03	resist	noninf	HCN77BBXX	l2
r04	resist	infect	H7LVWBBXX	l2
r04	resist	infect	HCMF5BBXX	l2
r04	resist	infect	HCN77BBXX	l2
r04	resist	noninf	H7LVWBBXX	l2
r04	resist	noninf	HCMF5BBXX	l2
r04	resist	noninf	HCN77BBXX	l2
r05	resist	infect	H7LVWBBXX	l2
r05	resist	infect	HCMF5BBXX	l2
r05	resist	infect	HCN77BBXX	l2
r05	resist	noninf	H7LVWBBXX	l2
r05	resist	noninf	HCMF5BBXX	l2
r05	resist	noninf	HCN77BBXX	l2
r06	resist	infect	H7LVWBBXX	l2
r06	resist	infect	HCMF5BBXX	l2
r06	resist	infect	HCN77BBXX	l2
r06	resist	noninf	H7LVWBBXX	l2
r06	resist	noninf	HCMF5BBXX	l2
r06	resist	noninf	HCN77BBXX	l2
r07	resist	infect	H7LVWBBXX	l2
r07	resist	infect	HCMF5BBXX	l2
r07	resist	infect	HCN77BBXX	l2
r07	resist	noninf	H7LVWBBXX	l2
r07	resist	noninf	HCMF5BBXX	l2
r07	resist	noninf	HCN77BBXX	l2
r08	resist	infect	H7LVWBBXX	l2
r08	resist	infect	HCMF5BBXX	l2
r08	resist	infect	HCN77BBXX	l2
r08	resist	noninf	H7LVWBBXX	l2
r08	resist	noninf	HCMF5BBXX	l2
r08	resist	noninf	HCN77BBXX	l2
r09	resist	infect	H7LVWBBXX	l3
r09	resist	infect	HCMF5BBXX	l3
r09	resist	infect	HCN77BBXX	l3
r09	resist	noninf	H7LVWBBXX	l3
r09	resist	noninf	HCMF5BBXX	l3
r09	resist	noninf	HCN77BBXX	l3
r10	resist	infect	H7LVWBBXX	l3
r10	resist	infect	HCMF5BBXX	l3
r10	resist	infect	HCN77BBXX	l3
r10	resist	noninf	H7LVWBBXX	l3
r10	resist	noninf	HCMF5BBXX	l3
r10	resist	noninf	HCN77BBXX	l3
r11	resist	infect	H7LVWBBXX	l3
r11	resist	infect	HCMF5BBXX	l3
r11	resist	infect	HCN77BBXX	l3
r11	resist	noninf	H7LVWBBXX	l3
r11	resist	noninf	HCMF5BBXX	l3
r11	resist	noninf	HCN77BBXX	l3
