V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101
1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
1.00053	1.00003	0.99936	1.00019	1.00003	0.99969	1.00003	1.00003	1.00003	1.00019	1.00019	1.00019	0.99986	0.99986	0.99969	0.99952	1.00036	1.00019	0.99986	0.99969	1.00003	1.00019	0.99986	1.00003	1.00070	1.00003	1.00019	1.00053	1.00053	0.99986	1.00019	1.00036	1.00036	1.00003	1.00003	0.99986	1.00036	0.99952	0.99936	1.00019	0.99936	0.99969	0.99885	1.00036	0.99986	1.00036	0.99986	1.00003	1.00003	1.00036	0.99969	0.99936	0.99902	0.99969	0.99969	1.00003	0.99936	1.00036	0.99969	0.99936	1.00036	0.99952	1.00019	1.00053	1.00019	0.99936	0.99969	1.00019	1.00036	0.99986	1.00070	1.00003	0.99986	0.99952	1.00019	1.00003	1.00019	0.99952	0.99969	0.99986	1.00053	1.00003	0.99969	1.00036	0.99969	0.99902	0.99986	1.00019	1.00019	1.00036	1.00003	1.00086	0.99952	1.00019	0.99986	1.00003	1.00003	1.00036	1.00003	0.99952	0.99936
1.00096	0.99995	0.99895	0.99979	0.99911	0.99962	1.00063	1.00012	1.00012	1.00113	1.00012	1.00012	0.99995	0.99945	0.99979	0.99895	1.00029	0.99995	1.00012	0.99962	0.99962	0.99995	0.99911	1.00012	1.00147	0.99995	1.00012	1.00012	1.00063	0.99911	1.00079	0.99995	0.99979	1.00012	1.00046	1.00029	1.00079	0.99962	0.99928	0.99979	0.99878	0.99945	0.99945	1.00046	0.99995	1.00063	0.99962	0.99995	1.00046	1.00079	0.99945	0.99878	0.99844	1.00012	0.99962	0.99995	0.99945	1.00113	0.99945	0.99928	1.00096	0.99878	0.99995	1.00029	1.00063	0.99895	0.99911	1.00046	0.99962	1.00029	1.00079	1.00046	1.00012	0.99995	1.00012	1.00063	0.99962	0.99945	0.99945	0.99911	1.00012	1.00029	1.00029	1.00012	0.99945	0.99844	0.99962	1.00096	1.00029	1.00079	1.00063	1.00180	0.99928	0.99995	0.99979	1.00063	0.99995	0.99995	1.00096	0.99928	0.99895
1.00039	0.99988	0.99938	0.99954	0.99938	0.99971	1.00106	1.00056	1.00022	1.00123	0.99954	0.99988	1.00022	0.99887	0.99938	0.99870	1.00022	1.00005	1.00106	0.99921	0.99971	0.99954	0.99938	0.99954	1.00190	1.00005	0.99988	0.99988	0.99971	0.99954	1.00072	0.99988	0.99938	1.00005	1.00039	0.99988	1.00056	0.99870	0.99853	0.99904	0.99887	0.99921	1.00005	1.00022	1.00072	1.00089	0.99988	0.99971	1.00022	1.00106	0.99904	0.99938	0.99870	0.99988	0.99988	1.00039	0.99904	1.00123	0.99954	0.99988	1.00022	0.99853	1.00022	1.00072	1.00072	0.99837	0.99971	1.00089	0.99954	1.00022	1.00022	1.00123	1.00005	1.00005	1.00056	1.00039	0.99988	0.99870	0.99988	0.99938	1.00072	1.00022	1.00022	1.00089	0.99887	0.99870	0.99921	1.00140	1.00089	1.00072	1.00056	1.00207	0.99921	0.99988	0.99954	1.00022	0.99938	1.00039	1.00039	0.99938	0.99870
0.99981	0.99964	0.99913	0.99913	1.00032	0.99964	1.00082	1.00032	1.00048	1.00116	0.99896	0.99998	1.00065	0.99880	1.00048	0.99930	1.00065	1.00015	1.00150	0.99880	0.99930	1.00065	0.99930	0.99930	1.00133	1.00032	0.99947	0.99981	0.99947	0.99947	1.00065	0.99998	0.99964	0.99981	0.99981	1.00015	1.00065	0.99846	0.99812	0.99947	0.99981	0.99947	0.99964	1.00048	1.00082	1.00032	1.00015	1.00015	1.00065	1.00082	0.99829	0.99981	0.99913	1.00015	0.99981	1.00082	0.99896	1.00251	0.99998	0.99981	1.00015	0.99896	1.00032	1.00065	1.00150	0.99846	0.99947	1.00099	0.99846	1.00015	1.00065	1.00150	0.99998	0.99981	1.00048	1.00116	0.99981	0.99846	0.99930	0.99964	1.00032	1.00015	1.00015	1.00099	0.99930	0.99880	0.99930	1.00167	1.00116	1.00133	1.00065	1.00217	0.99930	1.00015	0.99880	1.00032	0.99863	1.00065	0.99998	0.99947	0.99778
1.00007	0.99957	0.99923	0.99838	1.00041	0.99957	1.00126	0.99990	1.00075	1.00058	0.99855	0.99990	1.00041	0.99906	1.00092	0.99923	1.00092	1.00041	1.00177	0.99889	0.99923	1.00092	0.99940	0.99923	1.00194	1.00007	0.99940	1.00007	0.99957	0.99923	1.00092	1.00075	1.00041	0.99990	0.99923	0.99990	1.00041	0.99855	0.99804	0.99990	0.99923	0.99923	0.99990	1.00041	1.00092	1.00024	1.00007	1.00024	0.99990	1.00092	0.99821	0.99990	0.99872	0.99990	0.99957	1.00092	0.99923	1.00211	0.99990	0.99990	1.00058	0.99889	0.99974	1.00075	1.00126	0.99838	0.99923	1.00143	0.99804	1.00075	1.00177	1.00177	1.00024	0.99974	1.00109	1.00075	0.99974	0.99770	0.99940	0.99923	1.00075	1.00007	0.99940	1.00126	0.99923	0.99855	1.00007	1.00211	1.00126	1.00075	1.00024	1.00228	0.99855	1.00007	0.99923	1.00007	0.99753	1.00041	1.00041	0.99940	0.99787
1.00044	0.99959	0.99959	0.99823	1.00010	1.00044	1.00129	0.99942	1.00078	1.00078	0.99823	1.00010	1.00027	0.99874	1.00061	0.99993	1.00129	1.00061	1.00146	0.99874	0.99925	1.00112	0.99942	0.99891	1.00197	0.99976	0.99959	0.99942	1.00044	0.99959	1.00078	1.00044	1.00044	1.00095	0.99959	1.00044	1.00078	0.99891	0.99789	0.99959	0.99874	0.99908	0.99976	1.00044	1.00061	0.99993	0.99942	1.00010	0.99942	1.00095	0.99823	0.99925	0.99993	0.99942	1.00027	1.00095	0.99857	1.00180	1.00027	0.99942	1.00027	0.99925	1.00010	1.00078	1.00146	0.99806	0.99857	1.00146	0.99755	1.00112	1.00180	1.00180	0.99976	0.99942	1.00112	1.00078	0.99942	0.99772	0.99976	0.99891	1.00027	0.99959	0.99959	1.00044	1.00027	0.99823	0.99993	1.00231	1.00180	1.00095	0.99959	1.00214	0.99874	1.00010	0.99874	1.00027	0.99789	1.00027	1.00044	0.99925	0.99840
1.00044	0.99976	0.99891	0.99806	1.00044	1.00044	1.00078	0.99891	1.00044	1.00044	0.99772	1.00112	1.00010	0.99823	1.00061	1.00010	1.00146	1.00044	1.00163	0.99891	0.99891	1.00146	0.99976	0.99891	1.00163	1.00044	0.99959	0.99959	1.00044	0.99993	1.00061	1.00078	1.00061	1.00112	0.99976	1.00078	1.00078	0.99840	0.99823	0.99857	0.99891	0.99891	0.99993	1.00044	0.99993	1.00061	0.99908	0.99993	0.99925	1.00078	0.99840	0.99925	0.99993	0.99976	1.00044	1.00010	0.99976	1.00146	0.99993	0.99891	1.00010	0.99908	1.00078	1.00078	1.00146	0.99891	0.99823	1.00061	0.99721	1.00112	1.00129	1.00112	0.99925	1.00061	1.00078	1.00129	1.00010	0.99789	1.00044	0.99857	1.00027	1.00044	0.99976	1.00044	1.00027	0.99806	0.99993	1.00265	1.00231	1.00061	1.00010	1.00231	0.99874	1.00044	0.99959	0.99976	0.99772	1.00044	1.00010	1.00044	0.99806
1.00064	1.00030	0.99859	0.99842	1.00081	1.00098	1.00081	0.99842	1.00047	1.00030	0.99791	1.00166	0.99961	0.99893	1.00098	1.00064	1.00132	1.00047	1.00098	0.99893	0.99825	1.00115	0.99978	0.99876	1.00149	1.00013	0.99944	0.99944	1.00030	1.00013	1.00030	0.99995	1.00030	1.00081	1.00013	1.00081	1.00064	0.99740	0.99876	0.99910	0.99842	0.99859	0.99978	1.00047	0.99944	0.99995	0.99944	0.99995	0.99978	1.00166	0.99859	0.99876	1.00047	1.00030	1.00030	1.00013	0.99995	1.00200	0.99978	0.99910	1.00013	0.99944	1.00081	0.99995	1.00132	0.99825	0.99774	1.00149	0.99705	1.00183	1.00132	1.00098	0.99927	1.00081	1.00098	1.00132	0.99995	0.99791	1.00047	0.99859	0.99978	1.00064	0.99978	1.00081	0.99961	0.99842	1.00030	1.00234	1.00217	1.00081	1.00047	1.00251	0.99893	1.00149	1.00013	1.00030	0.99774	1.00064	0.99944	1.00081	0.99723
1.00081	0.99995	0.99858	0.99824	1.00098	1.00149	1.00064	0.99858	1.00081	0.99961	0.99756	1.00098	0.99944	0.99944	1.00149	1.00081	1.00115	1.00029	1.00115	0.99841	0.99858	1.00132	0.99910	0.99893	1.00132	0.99978	0.99978	0.99910	1.00115	0.99978	1.00047	1.00064	1.00081	1.00064	0.99978	1.00149	1.00064	0.99687	0.99893	0.99927	0.99790	0.99910	0.99927	1.00149	0.99961	1.00029	0.99961	0.99978	1.00098	1.00149	0.99876	0.99893	1.00047	1.00047	1.00029	0.99995	1.00029	1.00252	0.99995	0.99893	1.00012	0.99961	1.00064	1.00029	1.00047	0.99893	0.99756	1.00166	0.99705	1.00183	1.00098	1.00132	0.99927	1.00012	1.00081	1.00132	0.99927	0.99807	1.00064	0.99910	0.99978	1.00115	1.00064	1.00047	1.00029	0.99790	1.00081	1.00183	1.00235	1.00149	1.00047	1.00252	0.99910	1.00183	0.99961	1.00047	0.99756	1.00047	0.99995	1.00047	0.99739
