V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101
1.00010	0.99993	0.99993	0.99993	0.99993	1.00010	0.99993	1.00010	0.99993	0.99993	1.00010	1.00010	0.99993	1.00010	1.00010	1.00010	1.00010	0.99993	0.99993	1.00010	1.00010	0.99993	1.00010	0.99993	1.00010	1.00010	0.99993	1.00010	0.99993	0.99993	0.99993	1.00010	0.99993	1.00010	0.99993	1.00010	0.99993	0.99993	0.99993	1.00010	0.99993	0.99993	1.00010	0.99993	1.00010	1.00010	1.00010	1.00010	1.00010	0.99993	1.00010	0.99993	0.99993	0.99993	0.99993	1.00010	1.00010	1.00010	0.99993	1.00010	1.00010	1.00010	1.00010	0.99993	1.00010	0.99993	0.99993	0.99993	0.99993	0.99993	0.99993	0.99993	0.99993	0.99993	0.99993	0.99993	0.99993	1.00010	0.99993	0.99993	0.99993	0.99993	1.00010	1.00010	0.99993	1.00010	0.99993	1.00010	0.99993	1.00010	0.99993	1.00010	1.00010	0.99993	0.99993	1.00010	0.99993	1.00010	1.00010	0.99993	1.00010
1.00019	1.00103	1.00053	0.99986	0.99969	1.00003	0.99952	1.00019	0.99969	1.00003	1.00070	1.00053	1.00053	0.99986	1.00070	1.00053	0.99986	0.99986	0.99986	1.00120	1.00053	0.99986	0.99986	1.00003	1.00019	0.99952	1.00003	1.00003	1.00003	0.99986	0.99952	0.99969	0.99952	1.00036	0.99969	0.99952	1.00003	1.00036	0.99986	1.00019	1.00019	1.00003	0.99902	0.99952	0.99986	0.99952	1.00003	0.99986	1.00036	1.00036	0.99986	1.00019	1.00036	0.99952	0.99936	1.00003	1.00053	1.00036	0.99969	1.00019	1.00036	0.99986	1.00053	0.99902	1.00019	1.00003	1.00019	1.00070	0.99969	0.99969	1.00003	0.99969	0.99986	1.00003	0.99969	1.00036	1.00003	1.00003	1.00003	0.99986	0.99969	1.00003	0.99969	1.00019	0.99986	1.00086	0.99952	1.00019	0.99986	0.99969	0.99936	1.00019	0.99902	1.00053	1.00019	1.00086	1.00036	0.99986	0.99952	0.99969	1.00053
1.00012	1.00046	1.00012	0.99928	0.99979	1.00012	0.99945	1.00063	0.99995	0.99945	1.00046	1.00046	1.00012	1.00063	1.00079	1.00079	1.00012	1.00029	1.00029	1.00096	1.00063	1.00012	1.00012	0.99962	0.99995	0.99895	1.00012	0.99979	1.00012	0.99995	0.99911	1.00063	0.99945	0.99995	0.99945	0.99962	0.99995	0.99995	0.99945	1.00029	1.00096	0.99995	0.99911	0.99911	0.99995	0.99928	1.00029	1.00029	1.00063	1.00079	0.99995	0.99979	0.99995	0.99979	0.99911	0.99928	1.00012	0.99945	0.99945	1.00012	1.00029	1.00029	1.00096	0.99911	1.00046	0.99911	1.00046	1.00063	1.00012	0.99962	1.00046	0.99962	0.99945	1.00079	0.99928	0.99995	0.99928	1.00012	0.99995	1.00012	0.99995	0.99962	0.99962	1.00029	1.00046	1.00046	0.99995	1.00130	0.99995	0.99928	0.99995	1.00063	0.99911	1.00113	1.00012	1.00130	1.00079	0.99979	0.99979	0.99928	1.00029
0.99998	1.00099	1.00049	0.99947	0.99998	1.00015	1.00032	1.00032	0.99931	0.99931	1.00049	1.00065	0.99981	1.00032	1.00133	1.00082	1.00116	1.00049	1.00065	1.00032	1.00065	0.99931	1.00065	0.99947	1.00065	0.99880	1.00049	1.00032	1.00015	0.99947	0.99931	1.00099	0.99897	0.99964	0.99897	0.99914	1.00015	0.99931	0.99914	1.00032	1.00065	0.99981	0.99846	0.99846	1.00082	1.00015	0.99981	0.99998	1.00116	1.00099	0.99947	0.99981	0.99964	0.99931	0.99863	0.99947	1.00032	0.99998	0.99964	1.00049	1.00032	1.00032	1.00116	0.99897	1.00082	0.99846	0.99981	1.00116	1.00015	0.99931	1.00065	0.99931	0.99914	1.00099	0.99931	0.99964	0.99914	0.99998	1.00082	0.99998	0.99998	0.99964	0.99981	0.99998	0.99998	0.99981	0.99964	1.00183	0.99964	0.99931	0.99998	1.00032	0.99897	1.00082	1.00015	1.00099	1.00049	0.99998	0.99897	0.99914	0.99998
1.00041	1.00075	1.00041	0.99957	0.99940	1.00041	0.99940	1.00041	1.00008	0.99889	1.00092	1.00075	0.99974	1.00041	1.00075	1.00075	1.00143	1.00092	1.00160	0.99974	1.00143	0.99923	1.00058	0.99991	1.00024	0.99906	1.00092	1.00058	1.00008	0.99923	0.99940	1.00143	0.99991	0.99974	0.99923	0.99923	0.99991	0.99991	0.99906	1.00092	0.99991	0.99957	0.99805	0.99889	1.00024	1.00008	0.99974	0.99906	1.00092	1.00143	1.00008	0.99957	0.99940	0.99906	0.99889	0.99889	1.00008	0.99974	0.99940	1.00008	0.99957	1.00024	1.00109	0.99889	1.00075	0.99822	0.99991	1.00024	0.99940	0.99872	1.00092	0.99957	0.99906	1.00126	0.99923	0.99889	0.99906	0.99940	1.00041	0.99991	0.99991	0.99923	0.99923	1.00008	0.99940	0.99991	0.99991	1.00193	1.00058	0.99856	0.99991	1.00058	0.99940	1.00075	0.99974	1.00126	1.00058	1.00041	0.99923	0.99974	1.00008
1.00041	1.00007	1.00092	0.99974	0.99906	0.99990	0.99990	1.00024	1.00041	0.99872	1.00075	1.00075	0.99974	1.00075	1.00092	1.00092	1.00143	1.00109	1.00228	0.99923	1.00194	0.99838	0.99923	1.00007	1.00024	0.99957	1.00075	1.00007	1.00041	0.99923	0.99906	1.00143	1.00126	0.99974	0.99940	0.99906	0.99974	1.00007	0.99872	1.00075	0.99889	0.99957	0.99787	0.99889	1.00007	0.99974	0.99990	0.99821	1.00058	1.00177	1.00007	0.99940	1.00041	0.99855	0.99889	0.99838	1.00041	1.00058	1.00109	0.99990	0.99957	0.99990	1.00075	0.99906	1.00075	0.99906	0.99990	1.00024	0.99940	0.99889	1.00092	0.99889	0.99940	1.00228	0.99923	0.99940	0.99906	0.99940	1.00058	0.99906	0.99923	0.99923	0.99957	1.00024	0.99940	0.99990	0.99990	1.00143	1.00024	0.99906	1.00007	1.00007	0.99940	1.00058	0.99957	1.00109	1.00058	1.00007	0.99940	0.99974	1.00024
1.00027	0.99993	1.00095	1.00010	0.99993	0.99959	0.99959	0.99976	1.00078	0.99857	1.00078	1.00044	0.99976	1.00095	1.00044	1.00197	1.00129	1.00129	1.00265	0.99908	1.00180	0.99874	0.99908	0.99942	0.99993	0.99925	1.00078	1.00061	1.00061	0.99925	0.99840	1.00197	1.00129	0.99942	0.99840	0.99874	1.00010	1.00010	0.99823	1.00078	0.99874	0.99993	0.99738	0.99874	1.00010	0.99993	0.99976	0.99857	1.00061	1.00146	0.99976	0.99976	1.00061	0.99857	0.99874	0.99755	0.99942	1.00010	1.00180	0.99942	0.99959	0.99993	1.00078	0.99908	1.00129	0.99976	1.00044	1.00044	0.99908	0.99891	1.00078	0.99942	0.99925	1.00282	0.99976	0.99959	0.99891	0.99908	1.00010	0.99806	0.99942	0.99959	0.99959	0.99993	0.99925	0.99976	1.00027	1.00146	1.00010	0.99976	1.00061	0.99976	0.99891	1.00010	0.99874	1.00112	0.99993	1.00027	0.99925	0.99959	1.00044
1.00037	0.99969	1.00139	0.99986	0.99918	0.99969	0.99884	0.99969	1.00054	0.99867	1.00105	0.99969	1.00037	1.00088	1.00003	1.00207	1.00139	1.00190	1.00241	0.99901	1.00139	0.99901	0.99935	0.99901	0.99986	1.00020	1.00105	1.00071	1.00003	0.99952	0.99799	1.00258	1.00105	0.99901	0.99918	0.99833	1.00020	1.00037	0.99833	1.00054	0.99799	0.99969	0.99645	0.99816	0.99986	0.99986	0.99935	0.99782	1.00071	1.00156	0.99969	0.99969	1.00020	0.99884	0.99952	0.99782	0.99969	1.00020	1.00139	1.00003	0.99952	0.99918	1.00054	0.99935	1.00139	1.00037	1.00003	1.00071	0.99935	0.99850	1.00105	0.99969	0.99867	1.00292	0.99901	0.99935	0.99884	0.99884	0.99969	0.99765	0.99986	1.00003	0.99986	1.00003	0.99867	0.99969	1.00003	1.00173	0.99935	0.99952	0.99969	0.99952	0.99918	1.00037	0.99884	1.00122	0.99935	1.00003	0.99969	0.99901	1.00105
1.00071	1.00003	1.00071	0.99968	0.99951	1.00037	0.99832	0.99968	1.00003	0.99883	1.00105	0.99986	0.99968	0.99986	1.00020	1.00275	1.00054	1.00207	1.00156	0.99968	1.00139	0.99951	0.99986	0.99883	0.99968	1.00037	1.00122	1.00037	0.99986	0.99934	0.99798	1.00258	1.00037	0.99866	0.99866	0.99866	0.99986	1.00020	0.99849	1.00054	0.99781	0.99968	0.99644	0.99781	0.99968	0.99986	1.00003	0.99764	1.00105	1.00173	0.99934	1.00037	1.00071	0.99934	0.99968	0.99798	0.99986	1.00020	1.00105	1.00054	0.99951	0.99866	1.00071	0.99917	1.00088	0.99986	1.00088	1.00071	0.99968	0.99832	1.00122	0.99934	0.99900	1.00293	0.99866	0.99986	0.99883	0.99883	0.99917	0.99798	0.99900	1.00037	1.00003	1.00054	0.99883	0.99934	0.99951	1.00139	0.99934	0.99951	0.99951	0.99900	0.99968	1.00003	0.99951	1.00088	0.99866	1.00020	0.99986	0.99849	1.00105
1.00029	1.00047	1.00098	0.99978	1.00047	1.00029	0.99841	0.99978	0.99978	0.99858	1.00081	1.00029	1.00012	0.99995	0.99961	1.00320	1.00115	1.00354	1.00183	0.99961	1.00115	0.99961	0.99995	0.99893	0.99910	1.00064	1.00115	1.00012	1.00029	0.99927	0.99790	1.00337	0.99978	0.99841	0.99824	0.99893	0.99927	1.00029	0.99858	1.00012	0.99790	0.99961	0.99619	0.99687	1.00029	0.99978	0.99978	0.99824	1.00149	1.00235	0.99995	1.00047	1.00047	0.99944	1.00029	0.99824	0.99978	0.99978	1.00081	1.00149	0.99961	0.99910	1.00047	0.99944	1.00115	1.00029	1.00064	1.00081	0.99910	0.99807	1.00132	0.99893	0.99944	1.00286	0.99927	0.99995	0.99927	0.99927	0.99910	0.99773	0.99944	0.99995	1.00029	1.00047	0.99876	1.00012	0.99910	1.00115	0.99961	1.00029	0.99893	0.99893	1.00012	0.99995	0.99944	1.00098	0.99858	1.00012	0.99978	0.99893	1.00081
