V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101
1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
0.99962	1.00046	0.99996	1.00029	1.00029	0.99912	1.00029	1.00113	0.99996	1.00012	0.99979	1.00029	1.00029	1.00012	0.99912	1.00079	1.00029	1.00079	0.99929	0.99979	0.99945	1.00029	1.00063	0.99996	1.00029	1.00046	1.00012	1.00012	0.99979	0.99996	1.00113	1.00012	1.00029	0.99979	1.00046	1.00012	1.00012	0.99979	0.99996	0.99929	0.99962	1.00012	1.00029	1.00096	1.00046	0.99996	1.00029	1.00029	0.99979	0.99962	0.99962	1.00046	0.99945	0.99962	1.00012	1.00079	1.00063	1.00029	1.00012	0.99962	0.99979	0.99996	0.99996	0.99962	1.00029	0.99962	1.00029	1.00012	1.00063	1.00063	1.00046	0.99962	1.00046	1.00063	1.00029	0.99962	1.00046	0.99945	0.99929	0.99912	0.99996	1.00012	0.99929	0.99945	0.99996	0.99979	1.00029	0.99962	1.00012	1.00012	0.99945	1.00012	1.00012	0.99996	1.00012	1.00079	1.00063	1.00063	1.00046	0.99962	1.00012
0.99962	1.00130	0.99979	0.99995	1.00063	0.99928	1.00079	1.00079	1.00012	1.00029	1.00063	1.00029	1.00079	0.99995	0.99878	1.00012	1.00029	1.00113	0.99945	1.00046	0.99895	0.99979	1.00046	0.99979	1.00046	0.99995	1.00012	1.00096	0.99945	0.99962	1.00046	0.99928	1.00063	0.99995	1.00046	1.00063	1.00029	0.99995	1.00012	0.99979	1.00029	0.99945	1.00079	1.00147	1.00046	1.00046	0.99945	0.99995	0.99945	0.99995	0.99962	1.00046	0.99911	0.99945	1.00012	1.00063	1.00079	1.00029	1.00012	0.99979	0.99962	0.99979	0.99979	1.00029	1.00079	1.00012	1.00063	0.99962	1.00096	1.00012	1.00063	0.99928	1.00063	1.00113	0.99962	0.99979	1.00046	0.99895	0.99979	0.99911	0.99928	1.00113	0.99895	0.99878	1.00029	0.99962	0.99979	0.99945	0.99979	1.00130	0.99895	1.00113	0.99995	0.99995	0.99945	1.00096	1.00046	1.00046	1.00096	1.00063	1.00029
0.99947	1.00217	1.00116	0.99931	1.00082	0.99931	1.00099	1.00032	0.99964	1.00049	1.00015	0.99981	1.00082	1.00049	0.99846	0.99998	1.00049	1.00082	1.00015	0.99964	0.99863	0.99947	1.00065	0.99947	1.00065	1.00032	1.00015	1.00133	0.99914	0.99931	0.99964	0.99964	1.00049	0.99998	1.00015	1.00049	1.00015	1.00065	0.99998	0.99947	0.99964	0.99931	1.00133	1.00116	1.00049	1.00082	1.00065	1.00032	0.99931	1.00032	0.99914	1.00082	0.99914	0.99981	1.00049	1.00049	1.00049	1.00032	1.00015	1.00015	1.00032	0.99998	0.99964	0.99981	1.00049	1.00049	0.99981	0.99914	1.00065	0.99981	1.00065	0.99914	1.00099	1.00166	0.99947	0.99964	1.00049	0.99947	1.00065	0.99863	0.99931	1.00065	0.99846	0.99897	0.99998	0.99964	1.00015	0.99914	1.00065	1.00065	0.99880	1.00166	0.99981	0.99981	0.99931	1.00065	1.00049	1.00065	1.00116	1.00015	1.00116
0.99913	1.00200	1.00116	0.99930	1.00048	0.99913	1.00099	0.99998	0.99964	1.00082	0.99998	0.99964	1.00032	1.00065	0.99846	1.00082	0.99981	1.00082	1.00015	0.99981	0.99829	1.00015	1.00032	0.99880	1.00032	1.00048	1.00015	1.00082	0.99981	0.99930	0.99981	0.99947	1.00065	1.00015	0.99913	1.00048	0.99998	1.00015	1.00015	0.99930	0.99998	0.99896	1.00133	1.00065	1.00099	1.00048	1.00065	0.99998	0.99846	0.99998	0.99880	1.00032	0.99863	1.00015	1.00048	1.00099	1.00032	1.00032	0.99998	1.00032	1.00015	0.99930	0.99896	1.00048	1.00065	1.00048	0.99998	0.99896	1.00099	1.00099	1.00133	0.99930	1.00099	1.00184	0.99930	0.99930	0.99981	0.99930	1.00065	0.99930	0.99896	1.00015	0.99829	0.99930	0.99981	1.00015	1.00048	0.99880	1.00032	1.00048	0.99930	1.00150	0.99981	0.99998	0.99896	1.00082	1.00032	1.00048	1.00150	1.00048	1.00167
0.99950	1.00254	1.00136	0.99983	0.99950	0.99899	1.00034	0.99983	0.99966	1.00068	0.99983	0.99899	1.00034	1.00034	0.99865	1.00051	0.99882	1.00068	1.00119	0.99983	0.99831	1.00000	0.99983	0.99865	1.00017	1.00051	1.00000	1.00000	0.99882	0.99950	0.99983	0.99933	1.00051	0.99966	0.99950	1.00051	0.99950	0.99950	0.99983	0.99882	1.00000	0.99916	1.00170	1.00136	1.00085	1.00000	1.00068	0.99983	0.99814	0.99983	0.99814	1.00085	0.99916	1.00017	1.00034	1.00102	1.00017	1.00034	1.00000	1.00017	0.99950	0.99933	0.99933	1.00102	1.00034	1.00034	0.99983	0.99831	1.00085	1.00051	1.00153	0.99983	1.00119	1.00170	0.99899	0.99950	1.00000	0.99882	0.99983	0.99950	0.99848	1.00000	0.99763	0.99983	0.99950	0.99966	1.00034	0.99882	1.00000	1.00034	0.99899	1.00085	0.99933	1.00017	0.99899	1.00034	1.00034	1.00034	1.00153	1.00051	1.00187
0.99993	1.00197	1.00129	0.99976	0.99874	0.99925	0.99993	1.00027	0.99993	1.00061	0.99942	0.99823	0.99959	0.99993	0.99891	1.00027	0.99874	1.00061	1.00163	0.99976	0.99840	0.99976	1.00010	0.99857	1.00027	1.00044	1.00027	0.99993	0.99857	0.99925	1.00027	0.99908	1.00061	0.99908	0.99942	1.00010	0.99976	0.99942	0.99993	0.99874	1.00027	0.99891	1.00112	1.00146	1.00044	0.99959	1.00010	0.99976	0.99806	1.00044	0.99840	1.00078	0.99908	0.99993	1.00044	1.00163	1.00095	1.00010	1.00010	1.00010	0.99959	0.99942	0.99942	1.00044	1.00044	1.00010	1.00112	0.99840	1.00163	0.99993	1.00163	0.99993	1.00163	1.00129	0.99959	0.99993	0.99942	0.99874	0.99993	0.99925	0.99823	0.99891	0.99789	0.99976	0.99874	0.99925	1.00027	0.99942	0.99993	1.00061	0.99823	1.00044	0.99908	0.99942	0.99891	1.00095	1.00027	1.00078	1.00163	1.00061	1.00231
1.00010	1.00214	1.00078	0.99942	0.99857	0.99993	1.00044	0.99993	1.00044	1.00061	1.00027	0.99772	0.99993	0.99993	0.99959	1.00010	0.99857	1.00180	1.00180	0.99976	0.99840	0.99976	1.00010	0.99925	1.00044	1.00112	0.99993	0.99959	0.99891	0.99976	1.00095	0.99925	1.00061	0.99908	0.99959	1.00061	1.00027	0.99976	1.00010	0.99789	1.00061	0.99925	1.00044	1.00112	1.00095	0.99959	1.00044	0.99942	0.99823	1.00061	0.99891	1.00027	0.99942	0.99976	1.00044	1.00146	1.00112	1.00010	1.00044	1.00044	0.99959	0.99993	1.00010	1.00010	0.99976	0.99993	1.00146	0.99891	1.00180	1.00044	1.00146	0.99976	1.00112	1.00095	0.99993	0.99959	0.99959	0.99908	0.99993	0.99891	0.99857	0.99840	0.99874	1.00044	0.99806	0.99891	1.00027	0.99908	0.99993	1.00078	0.99738	1.00146	0.99942	0.99908	0.99857	1.00095	1.00027	1.00044	1.00163	1.00095	1.00282
1.00013	1.00200	1.00064	0.99944	0.99825	0.99978	1.00047	1.00047	1.00013	0.99978	1.00064	0.99740	0.99961	0.99927	0.99910	0.99995	0.99927	1.00166	1.00234	0.99961	0.99808	0.99927	0.99961	0.99927	1.00115	1.00115	0.99995	0.99995	0.99961	0.99944	1.00064	1.00030	1.00115	0.99893	0.99978	1.00013	1.00013	0.99978	1.00064	0.99757	1.00115	0.99859	1.00047	1.00098	1.00115	0.99978	1.00115	0.99995	0.99825	1.00064	0.99842	1.00030	0.99927	0.99961	1.00064	1.00166	1.00183	1.00030	1.00047	1.00132	0.99961	0.99978	1.00030	1.00047	1.00013	0.99893	1.00098	0.99910	1.00149	1.00064	1.00115	0.99961	1.00200	1.00081	0.99961	0.99961	0.99961	0.99859	1.00013	0.99842	0.99859	0.99791	0.99842	1.00030	0.99808	0.99893	1.00013	0.99978	0.99961	1.00115	0.99637	1.00132	0.99859	0.99910	0.99842	1.00200	0.99995	1.00132	1.00217	1.00166	1.00337
0.99903	1.00142	1.00005	0.99937	0.99834	0.99903	1.00039	1.00005	0.99988	0.99920	1.00057	0.99732	0.99937	0.99851	0.99937	1.00108	0.99903	1.00159	1.00245	0.99954	0.99800	0.99937	0.99868	0.99920	1.00091	1.00228	0.99971	1.00108	0.99971	0.99920	1.00074	0.99937	1.00108	0.99868	0.99903	0.99971	0.99988	1.00039	1.00125	0.99749	1.00176	0.99868	1.00074	1.00159	1.00125	0.99971	1.00159	1.00057	0.99920	1.00074	0.99800	0.99971	0.99937	0.99954	1.00039	1.00210	1.00193	1.00005	1.00057	1.00057	0.99954	0.99954	0.99971	1.00074	1.00039	0.99937	1.00074	0.99937	1.00074	1.00091	1.00057	0.99971	1.00210	1.00057	0.99954	0.99971	1.00005	0.99868	1.00057	0.99868	0.99868	0.99834	0.99886	1.00005	0.99800	0.99886	0.99954	0.99988	0.99988	1.00057	0.99697	1.00091	0.99817	0.99834	0.99783	1.00176	0.99988	1.00091	1.00193	1.00074	1.00399
