V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101
1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000
0.99988	0.99988	1.00023	1.00041	0.99988	1.00006	0.99899	0.99970	0.99988	1.00041	1.00094	0.99952	1.00006	0.99988	1.00023	0.99988	1.00023	0.99988	0.99988	0.99988	0.99935	0.99988	1.00041	0.99988	0.99988	0.99952	0.99935	0.99988	1.00006	1.00006	0.99988	1.00059	1.00041	0.99988	0.99917	1.00023	1.00059	0.99952	1.00077	1.00023	1.00041	1.00059	0.99988	1.00059	0.99988	1.00059	0.99952	0.99970	1.00023	1.00006	0.99988	0.99952	1.00059	0.99952	1.00094	0.99970	0.99988	1.00059	0.99935	0.99935	1.00006	1.00023	1.00094	0.99935	0.99952	0.99970	1.00006	0.99988	1.00023	0.99970	0.99917	1.00023	0.99988	0.99917	1.00059	0.99935	1.00006	0.99970	0.99970	1.00006	1.00041	0.99952	0.99970	0.99970	1.00023	0.99988	0.99988	0.99988	0.99988	0.99970	1.00077	1.00094	0.99988	1.00023	0.99935	1.00041	0.99935	1.00006	0.99970	0.99952	0.99970
1.00019	0.99984	1.00037	1.00055	1.00001	0.99930	0.99912	1.00001	1.00001	1.00108	1.00073	0.99877	1.00037	0.99948	0.99984	0.99966	1.00073	1.00055	1.00037	0.99984	1.00001	1.00037	1.00073	1.00001	1.00019	0.99966	0.99912	0.99984	1.00055	0.99912	0.99895	1.00019	1.00037	0.99948	0.99877	0.99984	1.00126	0.99948	1.00037	0.99966	1.00090	1.00001	1.00001	1.00090	1.00001	1.00055	0.99895	1.00019	1.00055	0.99948	0.99984	1.00001	1.00126	0.99966	1.00073	0.99984	1.00001	1.00108	0.99984	0.99895	1.00037	1.00073	1.00179	0.99912	0.99966	0.99984	0.99948	1.00001	1.00019	0.99948	0.99912	1.00001	1.00037	0.99912	1.00108	0.99930	0.99948	0.99948	0.99948	1.00055	1.00019	0.99930	0.99912	0.99948	1.00019	0.99984	1.00001	0.99966	1.00001	1.00001	1.00055	1.00162	0.99948	1.00001	1.00019	1.00073	0.99966	1.00090	0.99930	0.99895	1.00019
0.99962	0.99944	1.00086	1.00051	0.99944	0.99944	0.99872	1.00033	1.00015	1.00051	1.00140	0.99765	0.99979	0.99908	0.99997	0.99962	1.00104	1.00051	0.99944	0.99979	0.99997	1.00033	1.00051	0.99944	1.00033	0.99944	0.99926	0.99997	0.99997	0.99872	0.99872	1.00069	1.00051	0.99908	0.99872	0.99997	1.00158	0.99962	1.00051	0.99997	1.00051	1.00015	1.00015	1.00122	1.00033	1.00015	0.99979	1.00069	0.99997	0.99962	0.99908	0.99979	1.00176	0.99997	1.00086	0.99979	1.00015	1.00104	0.99944	0.99962	0.99997	1.00140	1.00158	0.99890	1.00015	1.00033	0.99944	1.00015	1.00033	0.99855	0.99890	0.99997	1.00104	0.99855	1.00015	0.99926	0.99997	0.99962	1.00015	1.00051	1.00033	0.99979	0.99926	0.99944	0.99944	0.99908	1.00015	0.99997	0.99962	0.99926	1.00086	1.00140	0.99997	0.99962	1.00086	1.00033	0.99997	1.00158	0.99997	0.99926	1.00015
0.99957	0.99904	1.00011	1.00047	0.99921	0.99921	0.99921	1.00047	1.00029	1.00065	1.00100	0.99796	1.00011	0.99886	1.00047	1.00011	1.00136	1.00065	1.00011	0.99957	0.99993	1.00029	1.00100	0.99939	1.00065	0.99993	0.99868	1.00011	0.99939	0.99939	0.99832	1.00065	1.00047	0.99850	0.99921	0.99957	1.00136	0.99975	1.00011	0.99975	0.99993	1.00047	0.99904	1.00136	0.99993	1.00047	1.00011	1.00029	1.00011	1.00011	0.99921	0.99921	1.00208	0.99993	1.00154	0.99993	0.99939	1.00118	0.99957	0.99975	0.99975	1.00190	1.00118	0.99939	1.00011	1.00082	0.99975	0.99993	1.00047	0.99939	0.99850	1.00065	1.00136	0.99850	1.00082	0.99921	0.99975	0.99975	1.00100	1.00047	1.00118	0.99975	0.99904	0.99904	0.99939	0.99850	1.00100	0.99904	0.99939	0.99975	1.00065	1.00154	0.99957	0.99957	1.00047	1.00065	1.00011	1.00208	0.99957	0.99868	1.00011
0.99953	0.99863	0.99989	1.00132	0.99917	0.99953	0.99827	1.00060	1.00025	1.00096	1.00060	0.99792	1.00043	0.99863	1.00078	1.00043	1.00132	1.00043	0.99935	1.00007	0.99989	0.99989	1.00114	0.99863	1.00060	0.99899	0.99899	0.99971	0.99971	0.99827	0.99827	1.00114	1.00114	0.99827	0.99953	0.99935	1.00114	1.00043	0.99989	0.99989	0.99935	1.00078	0.99971	1.00114	1.00007	1.00007	0.99953	1.00025	1.00007	1.00078	0.99989	0.99881	1.00222	1.00007	1.00186	0.99935	0.99953	1.00132	1.00043	0.99971	0.99971	1.00222	1.00150	0.99899	0.99881	1.00043	1.00043	1.00025	0.99971	0.99845	0.99827	1.00007	1.00204	0.99899	1.00060	0.99899	0.99971	0.99989	1.00114	0.99989	1.00096	0.99989	0.99935	0.99845	0.99989	0.99881	1.00060	0.99827	1.00043	0.99953	1.00043	1.00168	0.99953	0.99971	1.00007	1.00096	0.99989	1.00168	0.99935	0.99810	1.00060
0.99994	0.99869	1.00048	1.00120	0.99941	0.99941	0.99797	1.00084	0.99976	1.00048	1.00048	0.99725	1.00084	0.99779	1.00048	1.00048	1.00102	1.00012	0.99905	1.00066	1.00012	0.99887	1.00102	0.99833	1.00066	0.99905	0.99958	0.99976	1.00030	0.99797	0.99815	1.00102	1.00192	0.99797	0.99941	0.99887	1.00102	1.00066	1.00066	0.99958	0.99976	1.00102	0.99994	1.00102	0.99976	1.00048	0.99887	0.99994	0.99976	1.00066	1.00048	0.99851	1.00264	0.99994	1.00210	0.99923	0.99958	1.00174	1.00030	1.00012	1.00012	1.00228	1.00120	0.99923	0.99887	1.00048	1.00030	1.00084	1.00012	0.99797	0.99779	0.99994	1.00210	0.99851	1.00120	0.99905	0.99941	0.99958	1.00120	0.99923	1.00120	0.99994	0.99994	0.99905	1.00012	0.99869	1.00030	0.99797	0.99994	0.99941	1.00030	1.00084	0.99887	0.99923	1.00084	1.00102	0.99941	1.00192	1.00012	0.99779	1.00102
1.00016	0.99872	1.00070	1.00124	0.99944	0.99926	0.99800	1.00178	1.00016	0.99980	1.00070	0.99692	1.00070	0.99854	1.00124	0.99962	1.00034	1.00052	0.99890	1.00088	0.99908	0.99800	1.00124	0.99926	1.00016	0.99926	0.99980	0.99926	1.00034	0.99818	0.99800	1.00106	1.00214	0.99818	0.99872	0.99854	1.00142	1.00034	1.00052	0.99944	0.99962	1.00070	0.99980	1.00052	0.99980	1.00052	0.99836	0.99962	0.99926	1.00106	0.99962	0.99890	1.00178	0.99944	1.00232	0.99908	1.00016	1.00142	0.99962	1.00034	1.00016	1.00196	1.00124	0.99872	0.99836	0.99980	0.99998	1.00124	1.00034	0.99782	0.99674	1.00016	1.00160	0.99818	1.00160	0.99944	1.00016	0.99944	1.00214	0.99890	1.00070	0.99962	1.00070	0.99908	0.99962	0.99890	0.99980	0.99764	0.99980	1.00070	1.00052	1.00070	0.99854	0.99980	1.00070	1.00106	0.99926	1.00160	0.99998	0.99782	1.00178
0.99950	0.99896	1.00058	1.00148	0.99841	0.99950	0.99733	1.00130	1.00040	1.00022	1.00112	0.99733	1.00094	0.99950	1.00112	1.00004	1.00094	1.00004	0.99878	1.00112	0.99878	0.99769	1.00166	0.99896	1.00004	0.99950	0.99986	0.99986	1.00076	0.99733	0.99769	1.00112	1.00311	0.99733	0.99805	0.99878	1.00130	0.99986	1.00040	0.99986	0.99859	1.00076	0.99986	1.00022	1.00022	1.00004	0.99769	1.00004	0.99950	1.00166	0.99932	0.99859	1.00148	0.99896	1.00221	0.99986	1.00130	1.00185	1.00004	0.99986	0.99986	1.00148	1.00166	0.99841	0.99841	0.99968	1.00004	1.00148	0.99968	0.99805	0.99715	1.00022	1.00112	0.99859	1.00203	0.99932	0.99986	0.99932	1.00148	0.99914	1.00022	0.99968	1.00040	0.99878	0.99950	0.99878	1.00004	0.99805	0.99950	1.00058	1.00094	1.00004	0.99896	0.99932	1.00112	1.00022	0.99914	1.00166	1.00004	0.99787	1.00221
0.99935	0.99881	1.00062	1.00116	0.99827	0.99845	0.99664	1.00098	1.00044	1.00008	1.00080	0.99718	1.00116	0.99954	1.00062	1.00044	1.00135	0.99954	0.99899	1.00098	0.99881	0.99791	1.00098	0.99917	0.99954	0.99917	1.00044	1.00026	1.00026	0.99718	0.99736	1.00135	1.00334	0.99700	0.99791	0.99863	1.00135	0.99972	1.00098	0.99972	0.99827	1.00080	0.99972	1.00062	0.99972	1.00044	0.99700	0.99972	0.99972	1.00207	0.99917	0.99881	1.00116	0.99917	1.00243	1.00008	1.00189	1.00207	1.00026	0.99990	0.99935	1.00171	1.00135	0.99809	0.99791	0.99954	0.99990	1.00135	0.99881	0.99827	0.99700	1.00062	1.00116	0.99863	1.00171	0.99881	0.99935	0.99990	1.00135	0.99954	1.00008	0.99935	0.99935	0.99881	0.99935	0.99863	0.99954	0.99773	0.99935	1.00098	1.00080	1.00008	0.99863	0.99935	1.00062	1.00008	0.99881	1.00153	1.00026	0.99754	1.00153
