V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101
0.99992	1.00010	1.00010	1.00010	1.00010	0.99992	0.99992	0.99992	0.99992	1.00010	0.99992	0.99992	0.99992	0.99992	1.00010	1.00010	1.00010	0.99992	0.99992	1.00010	1.00010	1.00010	1.00010	0.99992	0.99992	0.99992	0.99992	0.99992	1.00010	1.00010	0.99992	0.99992	0.99992	0.99992	1.00010	1.00010	1.00010	1.00010	1.00010	1.00010	1.00010	0.99992	0.99992	1.00010	1.00010	1.00010	0.99992	1.00010	0.99992	0.99992	0.99992	1.00010	0.99992	1.00010	0.99992	0.99992	0.99992	1.00010	1.00010	1.00010	1.00010	0.99992	1.00010	1.00010	0.99992	0.99992	1.00010	1.00010	1.00010	0.99992	0.99992	0.99992	1.00010	0.99992	0.99992	1.00010	0.99992	1.00010	0.99992	0.99992	0.99992	0.99992	0.99992	1.00010	0.99992	1.00010	0.99992	0.99992	0.99992	1.00010	1.00010	1.00010	1.00010	1.00010	1.00010	0.99992	0.99992	0.99992	1.00010	0.99992	0.99992
0.99980	1.00086	0.99962	1.00051	0.99944	0.99980	0.99998	1.00033	1.00033	0.99980	0.99891	1.00033	0.99980	0.99944	1.00033	1.00033	0.99980	0.99927	0.99962	1.00051	1.00015	0.99998	1.00104	1.00015	1.00033	0.99944	0.99927	1.00015	1.00015	1.00086	0.99909	0.99980	1.00051	0.99980	0.99980	0.99980	0.99980	0.99944	0.99980	0.99962	1.00051	1.00051	1.00051	0.99980	0.99980	0.99980	1.00051	1.00086	0.99998	1.00033	1.00015	1.00086	1.00069	1.00015	0.99998	1.00033	1.00051	1.00033	1.00069	0.99998	0.99998	0.99944	0.99998	1.00033	1.00033	1.00069	0.99980	0.99927	0.99944	0.99962	0.99962	1.00033	0.99944	1.00069	0.99909	0.99927	0.99927	1.00015	0.99944	1.00015	0.99944	1.00015	0.99944	1.00033	0.99980	0.99980	1.00069	1.00069	0.99980	1.00033	0.99980	1.00015	1.00051	0.99998	0.99980	0.99962	0.99962	0.99962	1.00015	0.99998	0.99998
0.99984	1.00019	0.99930	1.00108	1.00001	0.99966	0.99966	1.00090	1.00055	0.99966	0.99824	1.00055	1.00001	0.99895	1.00090	1.00108	0.99966	0.99912	0.99930	1.00019	1.00001	1.00019	1.00162	1.00001	0.99984	0.99877	0.99984	1.00001	0.99948	1.00073	0.99895	0.99966	1.00073	0.99984	0.99966	0.99948	1.00001	0.99948	1.00019	0.99912	1.00037	1.00037	1.00037	0.99966	0.99966	0.99966	1.00073	1.00090	1.00019	1.00073	0.99948	1.00126	1.00055	0.99948	0.99984	0.99966	1.00162	0.99930	1.00055	1.00090	1.00055	1.00019	0.99930	0.99966	0.99948	1.00037	1.00037	0.99948	1.00019	1.00019	0.99966	1.00001	0.99948	1.00090	0.99912	0.99895	0.99859	1.00019	0.99912	1.00055	0.99895	1.00073	0.99930	1.00090	0.99966	0.99948	1.00126	1.00019	1.00019	1.00037	0.99895	1.00019	1.00055	1.00037	1.00001	0.99930	0.99912	0.99948	0.99948	1.00001	0.99948
0.99936	1.00007	0.99847	1.00203	1.00025	0.99918	1.00043	1.00114	1.00096	1.00025	0.99811	1.00043	1.00043	0.99900	1.00078	1.00043	1.00007	0.99900	0.99936	1.00114	1.00043	0.99936	1.00203	0.99954	0.99989	0.99900	0.99954	0.99954	0.99989	1.00043	0.99918	0.99971	1.00007	1.00078	0.99971	1.00025	0.99954	0.99900	0.99954	0.99954	0.99971	1.00007	1.00078	0.99918	0.99882	0.99936	1.00061	1.00114	1.00061	1.00114	0.99971	1.00061	1.00096	0.99918	0.99900	0.99918	1.00150	0.99918	1.00007	1.00150	1.00061	1.00114	0.99954	1.00007	0.99989	1.00025	1.00132	0.99971	1.00043	0.99954	0.99918	0.99971	1.00007	1.00096	0.99900	0.99882	0.99882	1.00007	0.99936	1.00078	0.99864	1.00007	0.99954	1.00007	0.99989	0.99954	1.00061	1.00007	0.99936	0.99989	0.99882	0.99936	1.00061	1.00007	1.00043	0.99954	0.99954	0.99936	0.99954	1.00025	0.99954
0.99949	1.00003	0.99842	1.00217	0.99985	0.99913	1.00003	1.00074	1.00092	1.00039	0.99806	1.00092	1.00039	0.99967	1.00128	1.00039	0.99985	0.99949	0.99860	1.00092	1.00056	0.99931	1.00164	0.99878	0.99931	0.99860	0.99860	0.99985	0.99931	1.00039	0.99985	0.99967	0.99931	1.00003	0.99949	1.00039	0.99931	0.99896	0.99967	1.00003	0.99931	1.00003	1.00074	0.99985	0.99913	0.99967	1.00074	1.00182	1.00074	1.00164	0.99931	1.00039	1.00128	0.99967	0.99931	0.99949	1.00128	1.00003	0.99985	1.00182	1.00164	1.00092	0.99967	0.99985	0.99985	1.00021	1.00164	1.00021	1.00056	1.00003	0.99913	0.99967	1.00021	1.00074	0.99878	0.99931	0.99913	1.00092	0.99949	1.00092	0.99896	1.00021	0.99931	1.00039	0.99985	0.99949	1.00056	1.00092	0.99949	0.99878	0.99860	0.99931	1.00039	0.99985	1.00039	0.99913	0.99985	0.99985	0.99967	1.00021	0.99967
0.99945	1.00070	0.99801	1.00303	1.00017	0.99927	1.00034	1.00178	1.00070	1.00017	0.99873	1.00124	1.00052	1.00017	1.00250	0.99999	0.99981	0.99945	0.99819	1.00052	1.00088	0.99945	1.00178	0.99891	0.99963	0.99837	0.99819	0.99891	0.99927	1.00034	1.00017	0.99981	0.99891	0.99999	0.99963	1.00034	0.99927	0.99837	0.99963	0.99999	0.99945	1.00017	1.00034	1.00052	0.99873	0.99873	1.00034	1.00160	1.00106	1.00214	0.99909	1.00017	1.00088	1.00052	0.99981	0.99909	1.00124	0.99909	0.99963	1.00214	1.00160	1.00017	1.00052	0.99981	0.99981	0.99999	1.00160	0.99981	1.00052	0.99999	0.99981	0.99891	0.99981	1.00124	0.99873	0.99891	0.99981	1.00214	0.99963	1.00070	0.99837	1.00052	0.99909	1.00052	1.00017	1.00017	1.00034	1.00052	0.99999	0.99909	0.99837	0.99945	1.00034	0.99981	1.00070	0.99909	0.99999	0.99945	0.99999	1.00034	0.99927
0.99895	1.00110	0.99787	1.00344	1.00038	0.99877	1.00038	1.00110	1.00110	1.00056	0.99823	1.00110	0.99949	1.00020	1.00236	1.00092	0.99949	0.99913	0.99769	1.00146	1.00056	0.99949	1.00146	0.99841	0.99931	0.99877	0.99859	0.99931	0.99841	1.00038	1.00074	0.99949	0.99895	0.99967	0.99859	1.00092	0.99895	0.99787	1.00002	1.00074	1.00056	0.99967	1.00056	1.00002	0.99877	0.99859	1.00002	1.00128	1.00092	1.00200	0.99949	1.00038	1.00110	1.00020	0.99985	0.99931	1.00164	0.99895	0.99985	1.00254	1.00146	1.00110	1.00020	0.99985	0.99931	1.00056	1.00146	0.99967	1.00074	1.00002	0.99967	0.99949	0.99949	1.00092	0.99877	0.99895	1.00002	1.00236	0.99967	1.00020	0.99913	1.00056	0.99913	1.00074	1.00002	1.00020	1.00056	1.00020	1.00110	0.99823	0.99877	1.00020	1.00074	0.99949	1.00038	0.99931	0.99967	0.99985	0.99967	1.00056	0.99841
0.99882	1.00116	0.99846	1.00350	0.99954	0.99936	1.00044	1.00098	1.00152	1.00044	0.99738	1.00116	0.99882	1.00008	1.00260	1.00008	0.99972	0.99882	0.99756	1.00134	1.00098	0.99954	1.00152	0.99864	1.00008	0.99828	0.99936	0.99900	0.99828	1.00080	1.00116	0.99918	0.99936	0.99990	0.99846	1.00098	0.99864	0.99792	1.00098	1.00080	1.00044	1.00008	1.00062	0.99972	0.99882	0.99828	1.00044	1.00206	1.00044	1.00260	0.99972	1.00008	1.00116	1.00044	1.00008	0.99918	1.00134	0.99936	0.99900	1.00224	1.00098	1.00080	1.00044	1.00080	1.00008	1.00080	1.00152	0.99864	1.00062	1.00044	1.00008	0.99954	1.00044	0.99990	0.99882	0.99882	0.99990	1.00278	1.00062	1.00008	0.99990	1.00098	0.99828	1.00080	1.00044	1.00026	1.00062	1.00008	1.00116	0.99918	0.99774	0.99990	1.00098	0.99846	1.00134	0.99864	1.00008	0.99954	0.99918	1.00080	0.99828
0.99896	1.00040	0.99896	1.00347	0.99878	0.99859	1.00022	1.00112	1.00148	1.00112	0.99715	1.00076	0.99878	0.99986	1.00257	1.00022	0.99950	0.99859	0.99805	1.00130	1.00076	0.99968	1.00094	0.99878	0.99986	0.99841	0.99859	0.99805	0.99859	1.00022	1.00058	0.99950	0.99896	0.99932	0.99841	1.00094	0.99841	0.99859	1.00058	1.00058	0.99950	1.00004	1.00076	1.00022	0.99896	0.99823	1.00022	1.00239	1.00004	1.00329	0.99932	1.00040	1.00130	1.00076	1.00058	1.00022	1.00094	0.99914	0.99896	1.00221	1.00148	1.00166	1.00022	1.00058	0.99968	1.00058	1.00148	0.99859	0.99968	1.00022	1.00058	0.99932	1.00004	1.00004	0.99823	0.99896	0.99950	1.00293	1.00022	1.00094	1.00022	1.00076	0.99787	1.00076	1.00076	1.00022	1.00094	1.00058	1.00112	0.99914	0.99751	0.99986	1.00022	0.99751	1.00148	0.99841	1.00004	0.99968	0.99968	1.00094	0.99859
0.99863	0.99990	0.99899	1.00261	0.99917	0.99845	1.00008	1.00189	1.00189	1.00098	0.99736	1.00135	0.99935	0.99917	1.00243	1.00098	0.99917	0.99809	0.99773	1.00189	1.00080	0.99990	1.00135	0.99845	0.99935	0.99791	0.99845	0.99827	0.99917	1.00062	1.00026	0.99935	0.99881	0.99917	0.99845	1.00080	0.99773	0.99845	1.00044	1.00098	0.99917	1.00080	1.00080	0.99972	0.99972	0.99899	0.99990	1.00279	0.99972	1.00352	0.99935	0.99990	1.00207	1.00062	1.00008	1.00080	1.00153	0.99899	0.99881	1.00153	1.00171	1.00207	1.00044	1.00062	1.00080	1.00080	1.00189	0.99845	0.99990	0.99990	1.00080	0.99935	1.00062	0.99972	0.99827	0.99954	0.99954	1.00334	0.99972	1.00135	0.99972	1.00080	0.99754	1.00044	1.00062	0.99990	1.00044	1.00135	1.00080	0.99972	0.99754	0.99990	0.99954	0.99791	1.00135	1.00008	1.00098	0.99917	0.99954	1.00044	0.99881
