sample	geo	srx	srr
r01-resist-infect	GSM2469538	SRX2520671	SRR5206790
r01-resist-noninf	GSM2469539	SRX2520672	SRR5206791
r02-resist-infect	GSM2469540	SRX2520673	SRR5206792
r02-resist-noninf	GSM2469541	SRX2520674	SRR5206793
r03-resist-infect	GSM2469542	SRX2520675	SRR5206794
r03-resist-noninf	GSM2469543	SRX2520676	SRR5206795
r04-resist-infect	GSM2469544	SRX2520677	SRR5206796
r04-resist-noninf	GSM2469545	SRX2520678	SRR5206797
r05-resist-infect	GSM2469546	SRX2520679	SRR5206798
r05-resist-noninf	GSM2469547	SRX2520680	SRR5206799
r06-resist-infect	GSM2469548	SRX2520681	SRR5206800
r06-resist-noninf	GSM2469549	SRX2520682	SRR5206801
r07-resist-infect	GSM2469550	SRX2520683	SRR5206802
r07-resist-noninf	GSM2469551	SRX2520684	SRR5206803
r08-resist-infect	GSM2469552	SRX2520685	SRR5206804
r08-resist-noninf	GSM2469553	SRX2520686	SRR5206805
r09-resist-infect	GSM2469554	SRX2520687	SRR5206806
r09-resist-noninf	GSM2469555	SRX2520688	SRR5206807
r10-resist-infect	GSM2469556	SRX2520689	SRR5206808
r10-resist-noninf	GSM2469557	SRX2520690	SRR5206809
r11-resist-infect	GSM2469558	SRX2520691	SRR5206810
r11-resist-noninf	GSM2469559	SRX2520692	SRR5206811
r12-resist-infect	GSM2469560	SRX2520693	SRR5206812
r12-resist-noninf	GSM2469561	SRX2520694	SRR5206813
r13-resist-infect	GSM2469562	SRX2520695	SRR5206814
r13-resist-noninf	GSM2469563	SRX2520696	SRR5206815
r14-resist-infect	GSM2469564	SRX2520697	SRR5206816
r14-resist-noninf	GSM2469565	SRX2520698	SRR5206817
r15-resist-infect	GSM2469566	SRX2520699	SRR5206818
r15-resist-noninf	GSM2469567	SRX2520700	SRR5206819
r16-resist-infect	GSM2469568	SRX2520701	SRR5206820
r16-resist-noninf	GSM2469569	SRX2520702	SRR5206821
r17-resist-infect	GSM2469570	SRX2520703	SRR5206822
r17-resist-noninf	GSM2469571	SRX2520704	SRR5206823
r18-resist-infect	GSM2469572	SRX2520705	SRR5206824
r18-resist-noninf	GSM2469573	SRX2520706	SRR5206825
r19-resist-infect	GSM2469574	SRX2520707	SRR5206826
r19-resist-noninf	GSM2469575	SRX2520708	SRR5206827
s01-suscep-infect	GSM2469576	SRX2520709	SRR5206828
s01-suscep-noninf	GSM2469577	SRX2520710	SRR5206829
s02-suscep-infect	GSM2469578	SRX2520711	SRR5206830
s02-suscep-noninf	GSM2469579	SRX2520712	SRR5206831
s03-suscep-infect	GSM2469580	SRX2520713	SRR5206832
s03-suscep-noninf	GSM2469581	SRX2520714	SRR5206833
s04-suscep-infect	GSM2469582	SRX2520715	SRR5206834
s04-suscep-noninf	GSM2469583	SRX2520716	SRR5206835
s05-suscep-infect	GSM2469584	SRX2520717	SRR5206836
s05-suscep-noninf	GSM2469585	SRX2520718	SRR5206837
s06-suscep-infect	GSM2469586	SRX2520719	SRR5206838
s06-suscep-noninf	GSM2469587	SRX2520720	SRR5206839
