stage	id	status	treatment	flow_cell	lane	counts
raw	15-contact-infected	contact	infected	HCMF5BBXX	l4	199907353
raw	15-contact-none	contact	none	HCMF5BBXX	l4	2520627
raw	14-contact-infected	contact	infected	HCMF5BBXX	l4	2341884
raw	14-contact-none	contact	none	HCMF5BBXX	l4	3737673
raw	13-contact-infected	contact	infected	HCMF5BBXX	l4	2353719
raw	13-contact-none	contact	none	HCMF5BBXX	l4	2952317
raw	05-tb-infected	tb	infected	HCMF5BBXX	l4	4000489
raw	05-tb-none	tb	none	HCMF5BBXX	l4	1791455
raw	04-tb-infected	tb	infected	HCMF5BBXX	l4	2002647
raw	04-tb-none	tb	none	HCMF5BBXX	l4	4850081
raw	19-contact-infected	contact	infected	HCMF5BBXX	l3	2496633
raw	19-contact-none	contact	none	HCMF5BBXX	l3	2131969
raw	18-contact-infected	contact	infected	HCMF5BBXX	l3	2190349
raw	18-contact-none	contact	none	HCMF5BBXX	l3	1583528
raw	17-contact-infected	contact	infected	HCMF5BBXX	l3	3388652
raw	17-contact-none	contact	none	HCMF5BBXX	l3	2211834
raw	16-contact-infected	contact	infected	HCMF5BBXX	l3	3043390
raw	16-contact-none	contact	none	HCMF5BBXX	l3	3086229
raw	12-contact-infected	contact	infected	HCMF5BBXX	l3	6575333
raw	12-contact-none	contact	none	HCMF5BBXX	l3	4268691
raw	11-contact-infected	contact	infected	HCMF5BBXX	l3	3897883
raw	11-contact-none	contact	none	HCMF5BBXX	l3	209899649
raw	10-contact-infected	contact	infected	HCMF5BBXX	l3	3184985
raw	10-contact-none	contact	none	HCMF5BBXX	l3	2813459
raw	09-contact-infected	contact	infected	HCMF5BBXX	l3	2384483
raw	09-contact-none	contact	none	HCMF5BBXX	l3	2952539
raw	06-tb-infected	tb	infected	HCMF5BBXX	l3	1796919
raw	06-tb-none	tb	none	HCMF5BBXX	l3	1980106
raw	03-tb-infected	tb	infected	HCMF5BBXX	l3	3344460
raw	03-tb-none	tb	none	HCMF5BBXX	l3	2735772
raw	08-contact-infected	contact	infected	HCMF5BBXX	l2	4333188
raw	08-contact-none	contact	none	HCMF5BBXX	l2	8533861
raw	07-contact-infected	contact	infected	HCMF5BBXX	l2	6419573
raw	07-contact-none	contact	none	HCMF5BBXX	l2	8101259
raw	06-contact-infected	contact	infected	HCMF5BBXX	l2	7856358
raw	06-contact-none	contact	none	HCMF5BBXX	l2	8243479
raw	05-contact-infected	contact	infected	HCMF5BBXX	l2	16538372
raw	05-contact-none	contact	none	HCMF5BBXX	l2	9500615
raw	04-contact-infected	contact	infected	HCMF5BBXX	l2	7929164
raw	04-contact-none	contact	none	HCMF5BBXX	l2	2145289
raw	03-contact-infected	contact	infected	HCMF5BBXX	l2	169899309
raw	03-contact-none	contact	none	HCMF5BBXX	l2	5906547
raw	02-tb-infected	tb	infected	HCMF5BBXX	l2	6270759
raw	02-tb-none	tb	none	HCMF5BBXX	l2	11442058
raw	02-contact-infected	contact	infected	HCMF5BBXX	l2	7752087
raw	02-contact-none	contact	none	HCMF5BBXX	l2	16575563
raw	01-tb-infected	tb	infected	HCMF5BBXX	l2	5150812
raw	01-tb-none	tb	none	HCMF5BBXX	l2	9572780
raw	01-contact-infected	contact	infected	HCMF5BBXX	l2	7922694
raw	01-contact-none	contact	none	HCMF5BBXX	l2	7472057
raw	13-contact-infected	contact	infected	HCN77BBXX	l4	23265414
raw	04-tb-infected	tb	infected	HCN77BBXX	l4	30891160
raw	04-tb-none	tb	none	HCN77BBXX	l4	23729494
raw	05-tb-infected	tb	infected	HCN77BBXX	l4	46220993
raw	05-tb-none	tb	none	HCN77BBXX	l4	32833968
raw	14-contact-infected	contact	infected	HCN77BBXX	l4	31264301
raw	13-contact-none	contact	none	HCN77BBXX	l4	50247147
raw	15-contact-infected	contact	infected	HCN77BBXX	l4	7843977
raw	14-contact-none	contact	none	HCN77BBXX	l4	36168221
raw	01-contact-infected	contact	infected	HCN77BBXX	l2	16153002
raw	15-contact-none	contact	none	HCN77BBXX	l4	43431654
raw	02-contact-infected	contact	infected	HCN77BBXX	l2	14481761
raw	01-contact-none	contact	none	HCN77BBXX	l2	13237782
raw	01-tb-infected	tb	infected	HCN77BBXX	l2	9214979
raw	01-tb-none	tb	none	HCN77BBXX	l2	21323381
raw	03-contact-infected	contact	infected	HCN77BBXX	l2	69363
raw	02-contact-none	contact	none	HCN77BBXX	l2	14352751
raw	04-contact-infected	contact	infected	HCN77BBXX	l2	10356852
raw	02-tb-infected	tb	infected	HCN77BBXX	l2	12175652
raw	03-tb-infected	tb	infected	HCN77BBXX	l3	15944161
raw	03-tb-none	tb	none	HCN77BBXX	l3	12305189
raw	02-tb-none	tb	none	HCN77BBXX	l2	24287256
raw	06-tb-none	tb	none	HCN77BBXX	l3	10869614
raw	06-tb-infected	tb	infected	HCN77BBXX	l3	8147170
raw	03-contact-none	contact	none	HCN77BBXX	l2	10582953
raw	06-contact-infected	contact	infected	HCN77BBXX	l2	16801115
raw	04-contact-none	contact	none	HCN77BBXX	l2	2459447
raw	09-contact-infected	contact	infected	HCN77BBXX	l3	10419455
raw	09-contact-none	contact	none	HCN77BBXX	l3	12883528
raw	10-contact-infected	contact	infected	HCN77BBXX	l3	14829928
raw	05-contact-infected	contact	infected	HCN77BBXX	l2	39715024
raw	10-contact-none	contact	none	HCN77BBXX	l3	13457574
raw	05-contact-none	contact	none	HCN77BBXX	l2	22160137
raw	07-contact-infected	contact	infected	HCN77BBXX	l2	5521283
raw	11-contact-infected	contact	infected	HCN77BBXX	l3	39556214
raw	11-contact-none	contact	none	HCN77BBXX	l3	8193997
raw	06-contact-none	contact	none	HCN77BBXX	l2	17748258
raw	08-contact-infected	contact	infected	HCN77BBXX	l2	10512679
raw	12-contact-infected	contact	infected	HCN77BBXX	l3	16406721
raw	07-contact-none	contact	none	HCN77BBXX	l2	15522294
raw	16-contact-none	contact	none	HCN77BBXX	l3	15876195
raw	12-contact-none	contact	none	HCN77BBXX	l3	20649583
raw	16-contact-infected	contact	infected	HCN77BBXX	l3	13783647
raw	08-contact-none	contact	none	HCN77BBXX	l2	19359664
raw	17-contact-infected	contact	infected	HCN77BBXX	l3	7263734
raw	17-contact-none	contact	none	HCN77BBXX	l3	11702753
raw	18-contact-infected	contact	infected	HCN77BBXX	l3	12493568
raw	18-contact-none	contact	none	HCN77BBXX	l3	8515943
raw	19-contact-infected	contact	infected	HCN77BBXX	l3	11973080
raw	19-contact-none	contact	none	HCN77BBXX	l3	11357381
raw	19-contact-infected	contact	infected	H7LVWBBXX	l3	15541681
raw	19-contact-none	contact	none	H7LVWBBXX	l3	14633072
raw	18-contact-infected	contact	infected	H7LVWBBXX	l3	15516973
raw	18-contact-none	contact	none	H7LVWBBXX	l3	10435301
raw	17-contact-infected	contact	infected	H7LVWBBXX	l3	8771693
raw	17-contact-none	contact	none	H7LVWBBXX	l3	14721732
raw	16-contact-infected	contact	infected	H7LVWBBXX	l3	18166843
raw	16-contact-none	contact	none	H7LVWBBXX	l3	19926600
raw	12-contact-infected	contact	infected	H7LVWBBXX	l3	20514410
raw	12-contact-none	contact	none	H7LVWBBXX	l3	27697710
raw	11-contact-infected	contact	infected	H7LVWBBXX	l3	53295224
raw	11-contact-none	contact	none	H7LVWBBXX	l3	10876930
raw	10-contact-infected	contact	infected	H7LVWBBXX	l3	18384048
raw	10-contact-none	contact	none	H7LVWBBXX	l3	17034004
raw	09-contact-infected	contact	infected	H7LVWBBXX	l3	13045724
raw	09-contact-none	contact	none	H7LVWBBXX	l3	16142716
raw	06-tb-infected	tb	infected	H7LVWBBXX	l3	10373074
raw	06-tb-none	tb	none	H7LVWBBXX	l3	13652640
raw	03-tb-infected	tb	infected	H7LVWBBXX	l3	20681235
raw	03-tb-none	tb	none	H7LVWBBXX	l3	16287540
raw	08-contact-none	contact	none	H7LVWBBXX	l2	22141391
raw	08-contact-infected	contact	infected	H7LVWBBXX	l2	12276396
raw	07-contact-none	contact	none	H7LVWBBXX	l2	18362260
raw	07-contact-infected	contact	infected	H7LVWBBXX	l2	6468314
raw	06-contact-none	contact	none	H7LVWBBXX	l2	19789556
raw	06-contact-infected	contact	infected	H7LVWBBXX	l2	19030459
raw	05-contact-none	contact	none	H7LVWBBXX	l2	24219709
raw	05-contact-infected	contact	infected	H7LVWBBXX	l2	45552118
raw	04-contact-none	contact	none	H7LVWBBXX	l2	2793611
raw	04-contact-infected	contact	infected	H7LVWBBXX	l2	11579487
raw	03-contact-none	contact	none	H7LVWBBXX	l2	11933787
raw	03-contact-infected	contact	infected	H7LVWBBXX	l2	39037
raw	02-tb-none	tb	none	H7LVWBBXX	l2	26502860
raw	02-tb-infected	tb	infected	H7LVWBBXX	l2	13860384
raw	02-contact-none	contact	none	H7LVWBBXX	l2	14786227
raw	02-contact-infected	contact	infected	H7LVWBBXX	l2	16208591
raw	01-tb-none	tb	none	H7LVWBBXX	l2	24156155
raw	01-tb-infected	tb	infected	H7LVWBBXX	l2	10009919
raw	01-contact-none	contact	none	H7LVWBBXX	l2	15907970
raw	01-contact-infected	contact	infected	H7LVWBBXX	l2	18324354
mapped to genome	15-contact-infected	contact	infected	HCMF5BBXX	l4	174691525
mapped to genome	15-contact-none	contact	none	HCMF5BBXX	l4	2224409
mapped to genome	14-contact-infected	contact	infected	HCMF5BBXX	l4	2080645
mapped to genome	14-contact-none	contact	none	HCMF5BBXX	l4	3360419
mapped to genome	13-contact-infected	contact	infected	HCMF5BBXX	l4	2041475
mapped to genome	13-contact-none	contact	none	HCMF5BBXX	l4	2532145
mapped to genome	05-tb-infected	tb	infected	HCMF5BBXX	l4	3490026
mapped to genome	05-tb-none	tb	none	HCMF5BBXX	l4	1579685
mapped to genome	04-tb-infected	tb	infected	HCMF5BBXX	l4	1783283
mapped to genome	04-tb-none	tb	none	HCMF5BBXX	l4	3503000
mapped to genome	19-contact-infected	contact	infected	HCMF5BBXX	l3	2216488
mapped to genome	19-contact-none	contact	none	HCMF5BBXX	l3	1876973
mapped to genome	18-contact-infected	contact	infected	HCMF5BBXX	l3	1941834
mapped to genome	18-contact-none	contact	none	HCMF5BBXX	l3	1396113
mapped to genome	17-contact-infected	contact	infected	HCMF5BBXX	l3	3000655
mapped to genome	17-contact-none	contact	none	HCMF5BBXX	l3	1893079
mapped to genome	16-contact-infected	contact	infected	HCMF5BBXX	l3	2663702
mapped to genome	16-contact-none	contact	none	HCMF5BBXX	l3	2624786
mapped to genome	12-contact-infected	contact	infected	HCMF5BBXX	l3	5768133
mapped to genome	12-contact-none	contact	none	HCMF5BBXX	l3	3760974
mapped to genome	11-contact-infected	contact	infected	HCMF5BBXX	l3	3346224
mapped to genome	11-contact-none	contact	none	HCMF5BBXX	l3	181417618
mapped to genome	10-contact-infected	contact	infected	HCMF5BBXX	l3	2751698
mapped to genome	10-contact-none	contact	none	HCMF5BBXX	l3	2391201
mapped to genome	09-contact-infected	contact	infected	HCMF5BBXX	l3	2071572
mapped to genome	09-contact-none	contact	none	HCMF5BBXX	l3	2598971
mapped to genome	06-tb-infected	tb	infected	HCMF5BBXX	l3	1564010
mapped to genome	06-tb-none	tb	none	HCMF5BBXX	l3	1708981
mapped to genome	03-tb-infected	tb	infected	HCMF5BBXX	l3	2554535
mapped to genome	03-tb-none	tb	none	HCMF5BBXX	l3	2156231
mapped to genome	08-contact-infected	contact	infected	HCMF5BBXX	l2	3534184
mapped to genome	08-contact-none	contact	none	HCMF5BBXX	l2	7100928
mapped to genome	07-contact-infected	contact	infected	HCMF5BBXX	l2	5572405
mapped to genome	07-contact-none	contact	none	HCMF5BBXX	l2	6532399
mapped to genome	06-contact-infected	contact	infected	HCMF5BBXX	l2	4410691
mapped to genome	06-contact-none	contact	none	HCMF5BBXX	l2	3756762
mapped to genome	05-contact-infected	contact	infected	HCMF5BBXX	l2	12927201
mapped to genome	05-contact-none	contact	none	HCMF5BBXX	l2	8187076
mapped to genome	04-contact-infected	contact	infected	HCMF5BBXX	l2	6970648
mapped to genome	04-contact-none	contact	none	HCMF5BBXX	l2	1894861
mapped to genome	03-contact-infected	contact	infected	HCMF5BBXX	l2	149434797
mapped to genome	03-contact-none	contact	none	HCMF5BBXX	l2	5301760
mapped to genome	02-tb-infected	tb	infected	HCMF5BBXX	l2	5463804
mapped to genome	02-tb-none	tb	none	HCMF5BBXX	l2	9982919
mapped to genome	02-contact-infected	contact	infected	HCMF5BBXX	l2	6940281
mapped to genome	02-contact-none	contact	none	HCMF5BBXX	l2	1123292
mapped to genome	01-tb-infected	tb	infected	HCMF5BBXX	l2	4541319
mapped to genome	01-tb-none	tb	none	HCMF5BBXX	l2	8258262
mapped to genome	01-contact-infected	contact	infected	HCMF5BBXX	l2	7008037
mapped to genome	01-contact-none	contact	none	HCMF5BBXX	l2	6249019
mapped to genome	13-contact-infected	contact	infected	HCN77BBXX	l4	20238647
mapped to genome	04-tb-infected	tb	infected	HCN77BBXX	l4	27569518
mapped to genome	04-tb-none	tb	none	HCN77BBXX	l4	17389897
mapped to genome	05-tb-infected	tb	infected	HCN77BBXX	l4	40596246
mapped to genome	05-tb-none	tb	none	HCN77BBXX	l4	29136056
mapped to genome	14-contact-infected	contact	infected	HCN77BBXX	l4	27931919
mapped to genome	13-contact-none	contact	none	HCN77BBXX	l4	43277830
mapped to genome	15-contact-infected	contact	infected	HCN77BBXX	l4	6863364
mapped to genome	14-contact-none	contact	none	HCN77BBXX	l4	32660979
mapped to genome	01-contact-infected	contact	infected	HCN77BBXX	l2	14269306
mapped to genome	15-contact-none	contact	none	HCN77BBXX	l4	38462966
mapped to genome	02-contact-infected	contact	infected	HCN77BBXX	l2	12955103
mapped to genome	01-contact-none	contact	none	HCN77BBXX	l2	10969778
mapped to genome	01-tb-infected	tb	infected	HCN77BBXX	l2	8075816
mapped to genome	01-tb-none	tb	none	HCN77BBXX	l2	18238687
mapped to genome	03-contact-infected	contact	infected	HCN77BBXX	l2	57005
mapped to genome	02-contact-none	contact	none	HCN77BBXX	l2	933943
mapped to genome	04-contact-infected	contact	infected	HCN77BBXX	l2	9080123
mapped to genome	02-tb-infected	tb	infected	HCN77BBXX	l2	10565964
mapped to genome	03-tb-infected	tb	infected	HCN77BBXX	l3	12159668
mapped to genome	03-tb-none	tb	none	HCN77BBXX	l3	9701046
mapped to genome	02-tb-none	tb	none	HCN77BBXX	l2	21171293
mapped to genome	06-tb-none	tb	none	HCN77BBXX	l3	9421030
mapped to genome	06-tb-infected	tb	infected	HCN77BBXX	l3	7089155
mapped to genome	03-contact-none	contact	none	HCN77BBXX	l2	9482105
mapped to genome	06-contact-infected	contact	infected	HCN77BBXX	l2	9313069
mapped to genome	04-contact-none	contact	none	HCN77BBXX	l2	2171202
mapped to genome	09-contact-infected	contact	infected	HCN77BBXX	l3	9064733
mapped to genome	09-contact-none	contact	none	HCN77BBXX	l3	11367089
mapped to genome	10-contact-infected	contact	infected	HCN77BBXX	l3	12796351
mapped to genome	05-contact-infected	contact	infected	HCN77BBXX	l2	30556940
mapped to genome	10-contact-none	contact	none	HCN77BBXX	l3	11434762
mapped to genome	05-contact-none	contact	none	HCN77BBXX	l2	19045194
mapped to genome	07-contact-infected	contact	infected	HCN77BBXX	l2	4778174
mapped to genome	11-contact-infected	contact	infected	HCN77BBXX	l3	33879669
mapped to genome	11-contact-none	contact	none	HCN77BBXX	l3	7056135
mapped to genome	06-contact-none	contact	none	HCN77BBXX	l2	8019215
mapped to genome	08-contact-infected	contact	infected	HCN77BBXX	l2	8501335
mapped to genome	12-contact-infected	contact	infected	HCN77BBXX	l3	14384828
mapped to genome	07-contact-none	contact	none	HCN77BBXX	l2	12390966
mapped to genome	16-contact-none	contact	none	HCN77BBXX	l3	13480370
mapped to genome	12-contact-none	contact	none	HCN77BBXX	l3	18162097
mapped to genome	16-contact-infected	contact	infected	HCN77BBXX	l3	12057881
mapped to genome	08-contact-none	contact	none	HCN77BBXX	l2	16054009
mapped to genome	17-contact-infected	contact	infected	HCN77BBXX	l3	6429098
mapped to genome	17-contact-none	contact	none	HCN77BBXX	l3	10074063
mapped to genome	18-contact-infected	contact	infected	HCN77BBXX	l3	11063018
mapped to genome	18-contact-none	contact	none	HCN77BBXX	l3	7494929
mapped to genome	19-contact-infected	contact	infected	HCN77BBXX	l3	10629885
mapped to genome	19-contact-none	contact	none	HCN77BBXX	l3	10002823
mapped to genome	19-contact-infected	contact	infected	H7LVWBBXX	l3	13828590
mapped to genome	19-contact-none	contact	none	H7LVWBBXX	l3	12924671
mapped to genome	18-contact-infected	contact	infected	H7LVWBBXX	l3	13778897
mapped to genome	18-contact-none	contact	none	H7LVWBBXX	l3	9199030
mapped to genome	17-contact-infected	contact	infected	H7LVWBBXX	l3	7778222
mapped to genome	17-contact-none	contact	none	H7LVWBBXX	l3	12715664
mapped to genome	16-contact-infected	contact	infected	H7LVWBBXX	l3	15958070
mapped to genome	16-contact-none	contact	none	H7LVWBBXX	l3	16953880
mapped to genome	12-contact-infected	contact	infected	H7LVWBBXX	l3	18022465
mapped to genome	12-contact-none	contact	none	H7LVWBBXX	l3	24490886
mapped to genome	11-contact-infected	contact	infected	H7LVWBBXX	l3	45827086
mapped to genome	11-contact-none	contact	none	H7LVWBBXX	l3	9393062
mapped to genome	10-contact-infected	contact	infected	H7LVWBBXX	l3	15960977
mapped to genome	10-contact-none	contact	none	H7LVWBBXX	l3	14528588
mapped to genome	09-contact-infected	contact	infected	H7LVWBBXX	l3	11377256
mapped to genome	09-contact-none	contact	none	H7LVWBBXX	l3	14272964
mapped to genome	06-tb-infected	tb	infected	H7LVWBBXX	l3	9046894
mapped to genome	06-tb-none	tb	none	H7LVWBBXX	l3	11859089
